user_id,product_id
1,3197421
1,100000006199
2,5088099
2,5475198
2,100064200322
2,100203000973
3,3197429
3,4246911
3,69673075023
3,100070794980
3,100114512933
3,100160986751
3,100162461068
4,1682006
4,13065559672
4,100008149331
4,100111748405
4,100154268305
4,100288929442
5,5088099
5,13065559672
5,100216501271
6,5088099
6,100059257824
6,100114512933
6,100195732408
6,100288929442
6,10042124137320
6,10159600685389
7,3627320
7,4246911
7,13065559672
7,100002187047
7,100008164593
7,100115256962
7,10042124137320
8,100230694872
8,10042124137320
8,10192694267563
9,13065559672
9,69673075023
9,100000006199
9,100008164593
9,100009013165
9,100121467835
9,10070360645999
10,11819155540
10,100114512933
11,11819155539
11,100009013165
11,100121467835
11,10202010911478
12,41399717702
12,100154268303
12,100230694872
12,10038280123718
13,100288929442
14,13065559672
14,69673075023
14,100006970791
14,100012736860
14,100136079282
14,10042124137320
14,10087901051820
15,5475198
15,11819155538
15,100008164593
15,100017016045
15,100062064085
15,100111748405
15,100203043497
15,100205817100
16,3409144
16,4246911
16,100040243463
17,11819155539
18,69673075023
18,100010609721
18,100019031805
18,100064236882
18,100112272948
18,10087901051820
19,100059911987
19,100154268303
20,1682006
20,11819155539
20,100002187047
20,100008149331
20,100230260134
21,5088099
21,100037409692
21,100115256962
21,100216501269
21,10159600685389
22,11819155539
22,100064200322
22,100216501269
22,100230694872
23,100112272948
24,3197317
24,3627320
24,100006970787
24,10037128752741
24,10042124137320
24,10070360253056
24,10098656892439
25,100195732408
25,10037128752741
26,5191216
26,100019031805
26,100064200322
27,100051205958
27,100114512933
27,100216501269
27,10070360253056
27,10121602694516
28,100009013165
28,100012736860
28,100136079284
28,100162461068
29,4246893
29,5191216
29,13065559672
29,69673075023
29,100008149331
29,100111748405
29,100121467835
30,3197429
30,3627320
30,100006970791
30,100044674724
31,5475198
31,13065559672
31,100085324248
31,100136079284
31,10070360645999
32,5088099
32,69673075023
32,100008164593
32,100014638332
32,100019031805
32,100136079282
32,10042124137320
33,100151315926
34,3627320
34,100184800271
35,13065559672
35,69673075023
36,4246893
36,5088099
36,11819155538
36,13065559671
36,100017016045
36,100288929442
36,10042124137320
37,10158610217611
38,11819155540
38,13065559672
38,100012736860
38,100021518453
39,11819155539
40,10192694267563
41,100002187045
41,100154268303
41,100195732408
41,100249994404
41,10070360253056
42,3627320
42,11819155539
42,100002187047
42,100064200322
42,100111748405
42,100205817100
42,10132040325618
43,3627320
43,100037409692
43,10042124137320
44,100112272948
44,100153216861
45,100014638332
45,100078760432
45,100111748405
45,10087901051820
46,100115256936
47,69673075023
47,100006970791
47,100071138925
47,100136079282
47,100136079284
48,100002187047
48,100006970791
48,100136079284
49,1682006
49,100115256936
50,4246893
50,13065559672
51,3627320
51,5475198
51,69673075023
51,100002187045
51,100008164593
52,1682006
52,100002187047
52,100114512933
52,100136079282
52,100162461068
52,10037128752741
52,10192694267563
53,5475198
53,10070360840507
54,100203000983
54,10042124137320
55,69673075023
55,100114512933
55,100171913423
56,69673075023
56,100037409692
56,100154268303
56,10042124137320
57,4246911
58,3409140
58,5191216
58,11819155539
58,100008149331
58,100017016045
58,10037128752741
58,10192694267563
59,3197429
59,5191106
59,11819155538
59,100009013165
59,100070794980
59,100154268303
59,10088090136835
60,3409140
60,100008164593
60,100017016045
61,10042124137320
62,100008164593
62,100070794980
62,100136079282
62,100154268303
63,11819155539
63,13065559670
63,69673075023
63,100210171410
63,100284318456
63,10070360253056
63,10159600685389
64,3197421
64,100008149331
64,100203000971
64,100288929440
64,100288929442
64,10042124137320
64,10070360253056
65,3409140
