user_id,product_id,label,category,review_cnt,avg_text_len,positive_rate,negative_rate,sentiment_中评_rate,sentiment_好评_rate,sentiment_差评_rate,intent_价格优惠_rate,intent_售后退换_rate,intent_商品反馈_rate,intent_商品咨询_rate,intent_喂养咨询_rate,intent_未知意图_rate,intent_物流发货_rate,user_order_cnt
1,1681975,1,cat_food,8,28.5,0.125,0.0,0.5,0.375,0.125,0.25,0.0,0.0,0.5,0.125,0.0,0.125,3
1,1682006,1,cat_food,28,38.642857142857146,0.2142857142857142,0.3571428571428571,0.3571428571428571,0.25,0.3928571428571428,0.1071428571428571,0.0357142857142857,0.0,0.5,0.1428571428571428,0.0,0.2142857142857142,3
1,3197317,1,dog_food,40,46.225,0.225,0.425,0.325,0.25,0.425,0.175,0.15,0.0,0.375,0.1,0.0,0.2,3
1,100230694872,0,pet_product,26,43.23076923076923,0.8846153846153846,0.0769230769230769,0.0,0.9230769230769232,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.2307692307692307,0.4230769230769231,0.0,0.0,0.1538461538461538,3
1,10216990532695,0,pet_product,2,39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
1,10098656892439,0,cat_food,15,60.86666666666667,0.8,0.1333333333333333,0.0666666666666666,0.8,0.1333333333333333,0.1333333333333333,0.0,0.0,0.2666666666666666,0.1333333333333333,0.0,0.4666666666666667,3
1,100232533686,0,cat_food,1,88.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
1,100288929442,0,dog_food,22,64.13636363636364,0.7727272727272727,0.1818181818181818,0.0454545454545454,0.7727272727272727,0.1818181818181818,0.0909090909090909,0.0454545454545454,0.0,0.5909090909090909,0.0454545454545454,0.0,0.2272727272727272,3
1,100238235296,0,pet_product,1,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
1,100259241076,0,cat_food,4,66.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,3
1,10216990532692,0,pet_product,5,45.6,1.0,0.0,0.0,1.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,3
1,10098681688567,0,cat_food,4,52.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.25,3
