product_id,category,recommend_score,review_count,positive_rate,negative_rate
100208997549,cat_food,0.99134,1,1.0,0.0
100201485775,cat_food,0.98635185,1,1.0,0.0
100215876924,cat_food,0.9830481,1,1.0,0.0
100268921828,cat_food,0.98249465,2,1.0,0.0
100059257824,cat_food,0.9742522,1,1.0,0.0
100232533686,cat_food,0.9727869,1,1.0,0.0
100062064085,cat_food,0.9620386,3,1.0,0.0
100153216861,cat_food,0.96131605,6,1.0,0.0
100017016045,cat_food,0.95816714,7,1.0,0.0
100284318456,cat_food,0.95642453,6,1.0,0.0
100203000971,dog_food,0.9979395,1,1.0,0.0
100269228338,dog_food,0.9977265,1,1.0,0.0
100249960035,dog_food,0.99750215,1,1.0,0.0
100293051202,dog_food,0.9956116,1,1.0,0.0
100268823846,dog_food,0.994068,1,1.0,0.0
100216501267,dog_food,0.9940511,8,1.0,0.0
100203000983,dog_food,0.992324,5,1.0,0.0
10022997415952,dog_food,0.9826756,6,1.0,0.0
100268823874,dog_food,0.97165054,14,0.9285714285714286,0.0
100121467835,dog_food,0.96456516,36,1.0,0.0
100254932638,pet_product,0.99681467,1,1.0,0.0
100273184394,pet_product,0.9952099,1,1.0,0.0
100222208820,pet_product,0.9934142,4,1.0,0.0
100238235296,pet_product,0.9918916,1,1.0,0.0
100059911987,pet_product,0.9915177,1,1.0,0.0
100291857584,pet_product,0.9913316,3,1.0,0.0
100197922048,pet_product,0.9902221,2,1.0,0.0
10212550372913,pet_product,0.9900988,1,1.0,0.0
10216990532695,pet_product,0.9883497,2,1.0,0.0
100218523716,pet_product,0.987169,3,1.0,0.0
