user_id,product_id,model_version,score,rank_no,reason_json
1,100114512933,xgb_hybrid_v1,0.9640463590621948,1,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9848139882087708, ""score_comment_xgb"": 0.9254780411720276}"
1,100059911987,xgb_hybrid_v1,0.9485621452331543,2,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9254322052001953, ""score_comment_xgb"": 0.9915177226066589}"
1,100154268303,xgb_hybrid_v1,0.9417184591293335,3,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9754044413566589, ""score_comment_xgb"": 0.8791588544845581}"
1,11819155539,xgb_hybrid_v1,0.9121884107589722,4,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9767589569091797, ""score_comment_xgb"": 0.7922716736793518}"
1,10121602694516,xgb_hybrid_v1,0.9118934869766235,5,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9242874979972839, ""score_comment_xgb"": 0.88887619972229}"
1,100112272948,xgb_hybrid_v1,0.9034673571586609,6,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9493758082389832, ""score_comment_xgb"": 0.8182088136672974}"
1,100215876924,xgb_hybrid_v1,0.9010956287384033,7,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.8569673895835876, ""score_comment_xgb"": 0.9830480813980103}"
1,100195732408,xgb_hybrid_v1,0.8910841941833496,8,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.953932523727417, ""score_comment_xgb"": 0.7743659615516663}"
1,100184800271,xgb_hybrid_v1,0.8903204202651978,9,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.8438010811805725, ""score_comment_xgb"": 0.9767134785652161}"
1,10070360840507,xgb_hybrid_v1,0.885025680065155,10,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9383029937744141, ""score_comment_xgb"": 0.7860822081565857}"
1,100071138925,xgb_hybrid_v1,0.8837848901748657,11,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.8887361288070679, ""score_comment_xgb"": 0.8745898604393005}"
1,100203000983,xgb_hybrid_v1,0.8829163908958435,12,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.8240046501159668, ""score_comment_xgb"": 0.9923239946365356}"
1,13065559672,xgb_hybrid_v1,0.8660677075386047,13,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9742088913917542, ""score_comment_xgb"": 0.6652342081069946}"
1,100115256936,xgb_hybrid_v1,0.8551304340362549,14,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9114986658096313, ""score_comment_xgb"": 0.750446617603302}"
1,100151315926,xgb_hybrid_v1,0.8301624059677124,15,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.8915016651153564, ""score_comment_xgb"": 0.7162466645240784}"
1,100019031805,xgb_hybrid_v1,0.8162246346473694,16,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9406836032867432, ""score_comment_xgb"": 0.5850866436958313}"
1,71577466395,xgb_hybrid_v1,0.7927663326263428,17,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.8619879484176636, ""score_comment_xgb"": 0.6642119288444519}"
1,100230694872,xgb_hybrid_v1,0.7902008295059204,18,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.7477841973304749, ""score_comment_xgb"": 0.8689746260643005}"
1,11819155540,xgb_hybrid_v1,0.7568913102149963,19,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.80050128698349, ""score_comment_xgb"": 0.6759012937545776}"
1,100000987566,xgb_hybrid_v1,0.7485824227333069,20,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.849833607673645, ""score_comment_xgb"": 0.5605446100234985}"
2,100114512933,xgb_hybrid_v1,0.9539411067962646,1,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9692674875259399, ""score_comment_xgb"": 0.9254780411720276}"
2,100136079282,xgb_hybrid_v1,0.9504092335700989,2,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9537902474403381, ""score_comment_xgb"": 0.9441302418708801}"
2,100154268303,xgb_hybrid_v1,0.9478967785835266,3,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9849095940589905, ""score_comment_xgb"": 0.8791588544845581}"
2,100136079284,xgb_hybrid_v1,0.9215860366821289,4,"{""source"": ""hybrid_u2i_comment_xgb"", ""alpha"": 0.65, ""score_u2i"": 0.9159910678863525, ""score_comment_xgb"": 0.9319767355918884}"
